finalGeneList,finalScore,expansionPVal,rankingPVal
ELFN2,0,NaN,1
NCF4,3.09130114394741,NaN,0.5074
MYH11,0,NaN,1
GPR84,0,NaN,1
RDH5,0,NaN,1
MMP19,0,NaN,1
TAC3,0,NaN,1
C1R,1.4160662062884,NaN,0.0094
GNB3,1.35759251487652,NaN,0.4323
ADAMTS20,2.28274035999048,NaN,0.0001
PLXNC1,0,NaN,1
KERA,0,NaN,1
PPFIA2,0,NaN,1
HLA-DRA,0,NaN,1
PSMB9,0.32163978792047,NaN,0.8756
COL11A2,0.714146157996253,NaN,0.8454
ARMC12,0,NaN,1
CPNE5,0,NaN,1
FGD2,0,NaN,1
RUNX2,0.471232210528513,NaN,0.3439
PTCHD4,0,NaN,1
BNC1,0,NaN,1
CFAP100,0,NaN,1
ANPEP,0.807290473797226,NaN,0.6191
CIDEB,0,NaN,1
PCK2,0.894916,NaN,0.0066
EFS,0,NaN,1
SLC7A8,0,NaN,1
MCTP2,0,NaN,1
PRIMA1,0.478864,NaN,0.3225
SLC28A1,0,NaN,1
HSF4,0,NaN,1
PLLP,0.385295304971676,NaN,0.5994
CD22,0.64617734069796,NaN,0.9669
TYROBP,2.67116050426765,NaN,0.4726
CEACAM16,0,NaN,1
NLRP8,0,NaN,1
ACOT7,0,NaN,1
FGR,2.95490643545355,NaN,0.6647
MFSD2A,0,NaN,1
MCOLN2,0.334789029429195,NaN,0.8126
ZSWIM5,0,NaN,1
PLK3,0,NaN,1
FRMD1,0,NaN,1
VNN2,0.346822262373171,NaN,0.7546
KCNQ5,0.343396,NaN,0.7682
PRSS35,0,NaN,1
LIPG,0.470596,NaN,0.3514
SCG3,0.293926395435941,NaN,0.9487
HDC,0,NaN,1
DUOX2,1.13468471341901,NaN,0.1012
SERPINB5,0.491286513338271,NaN,0.2925
CILP,0,NaN,1
LGALS3,2.01310370938208,NaN,0.1778
TMC1,0,NaN,1
GALNT12,0,NaN,1
PAPPA,0,NaN,1
CRB2,0,NaN,1
ANGPTL2,0,NaN,1
LCN2,0.39100720664224,NaN,0.5833
DNM1,1.58653355880526,NaN,0.7678
PRRX2,0,NaN,1
NTNG2,0.359764430523848,NaN,0.702
FAM135B,0,NaN,1
SLA,0.84311826286155,NaN,0.5422
KCNV1,0.343396,NaN,0.771
PKHD1L1,0,NaN,1
SBSPON,2.24170789930048,NaN,0.0003
ADAMTS4,3.07851188906979,NaN,0.0048
SLAMF7,0,NaN,1
FCRL1,0,NaN,1
FCRL3,0,NaN,1
THBS3,1.52186681357109,NaN,0.2039
S100A9,0.890340576247461,NaN,0.4479
TUFT1,0.266752718795626,NaN,0.9832
DUSP15,0,NaN,1
HCK,4.30517261863621,NaN,0.6323
CASS4,0,NaN,1
GATA5,0.71715339074532,NaN,0.8399
NPTX2,0,NaN,1
