geneName	seedOrExpand	winnerScore
CBX7	S	0
ELFN2	S	0
NCF4	S	3.09130114394741
MYH11	S	0
GPR84	S	0
RDH5	S	0
MMP19	S	0
TAC3	S	0
C1R	S	1.4160662062884
GNB3	S	1.35759251487652
ADAMTS20	S	2.28274035999048
PLXNC1	S	0
KERA	S	0
PPFIA2	S	0
HLA-DRA	S	0
PSMB9	S	0.32163978792047
COL11A2	S	0.714146157996252
ARMC12	S	0
CPNE5	S	0
FGD2	S	0
RUNX2	S	0.471232210528513
PTCHD4	S	0
BNC1	S	0
CFAP100	S	0
ANPEP	S	0.807290473797226
CIDEB	S	0
PCK2	S	0.894916
EFS	S	0
SLC7A8	S	0
MCTP2	S	0
PRIMA1	S	0.478864
SLC28A1	S	0
HSF4	S	0
PLLP	S	0.385295304971676
CD22	S	0.64617734069796
TYROBP	S	2.67116050426765
CEACAM16	S	0
NLRP8	S	0
ACOT7	S	0
FGR	S	2.95490643545355
MFSD2A	S	0
MCOLN2	S	0.334789029429195
ZSWIM5	S	0
PLK3	S	0
FRMD1	S	0
VNN2	S	0.346822262373171
KCNQ5	S	0.343396
PRSS35	S	0
LIPG	S	0.470596
SCG3	S	0.293926395435941
HDC	S	0
DUOX2	S	1.13468471341901
SERPINB5	S	0.491286513338271
CILP	S	0
LGALS3	S	2.01310370938208
TMC1	S	0
GALNT12	S	0
PAPPA	S	0
CRB2	S	0
ANGPTL2	S	0
LCN2	S	0.39100720664224
DNM1	S	1.58653355880526
PRRX2	S	0
NTNG2	S	0.359764430523848
FAM135B	S	0
SLA	S	0.84311826286155
KCNV1	S	0.343396
PKHD1L1	S	0
SBSPON	S	2.24170789930048
ADAMTS4	S	3.07851188906979
SLAMF7	S	0
FCRL1	S	0
FCRL3	S	0
THBS3	S	1.52186681357109
S100A9	S	0.890340576247461
TUFT1	S	0.266752718795626
DUSP15	S	0
HCK	S	4.30517261863621
CASS4	S	0
GATA5	S	0.71715339074532
NPTX2	S	0
MLXIPL	S	0.312481
CLDN4	S	0
HBM	S	0
MERTK	S	0.509036545919969
CAPG	S	0.410084414691605
DRC1	S	0
SDC1	S	1.87553916863156
OSR1	S	0
RBM47	S	0.409399088448905
LNX1	S	0.32764726376189
TLR2	S	2.72423059969663
MMRN1	S	0
SNCA	S	1.33025104862537
PLAC8	S	0.400046399326012
MEDAG	S	0
CCNA1	S	0
SERPINE3	S	0.354319918233055
TNFSF13B	S	0.66036518285761
ROR2	S	1.25487323786995
EGR3	S	0.261121
ADAMDEC1	S	0
STMN4	S	0
SCARA5	S	0
BICDL1	S	0
SGSM1	S	0
OSM	S	1.43959915870733
AGT	S	3.02757706284365
CYP26A1	S	0
SCD	S	0.312481
ADAM12	S	0.31743631728552
ITGA8	S	2.95154464541224
OTUD1	S	0
PFKFB3	S	0
FAM198A	S	0
CIDEC	S	0.736164
NFKBIZ	S	0
XKRX	S	0.363495254676421
PIH1D3	S	0
XPNPEP2	S	0.96563530009504
L1CAM	S	0.291259915512409
AVPR2	S	0.483251892680885
EPS8L2	S	0.343180844600414
TMEM151A	S	0
LGALS12	S	0.309136
MYRF	S	0
VWCE	S	0
WT1	S	0.362836552859535
ABCC8	S	0
C3	S	0.665625447810129
VAV1	S	5.27457556158713
STXBP2	S	0.303601
C19orf38	S	0
JAK3	S	3.50428132796103
TMEM59L	S	0.698896
GFPT2	S	0
NR2F1	S	0
LVRN	S	0.623610437531789
SLC27A6	S	0
ADAMTS19	S	0
ACSL6	S	0.470596
STK32A	S	0
PIWIL4	S	0.317592772085018
DIXDC1	S	0
IL18	S	1.27434918324417
ST14	S	0
ADAMTS15	S	2.26336485076115
FMOD	S	0.905328543739049
RELN	S	0.336372420227369
NRCAM	S	0
NCF2	S	3.06771655468351
LYPD6B	S	0
HTRA4	S	0
FN1	S	6.17485611430288
MREG	S	0
IQCA1	S	0
SNED1	S	0
WDR86	S	0
TMEM176A	S	0
WNT16	S	1.08320188874427
GPR85	S	0
LRRN3	S	0
KCNMB1	S	0.298552402859333
SLC36A2	S	0
EVPL	S	0
ITGB4	S	2.25487249960847
SLC16A6	S	0
MEOX1	S	0
KRT14	S	0
NGFR	S	0.748248319966368
DNAH2	S	0
ERBB3	S	3.42823886356466
VDR	S	0.784486271373328
LXN	S	0.677196297391134
MMP25	S	1.14788157995302
NPL	S	0.337174925936445
COCH	S	0
FGF16	S	1.16214402925444
CRMP1	S	0
CA10	S	0.862795891985327
GPM6A	S	0
SLC2A6	S	0
NLRP13	S	0.266212617172759
ANO9	S	0
CIDEA	S	0.736164
RCN3	S	0
ISG20	S	0
LRRN4CL	S	0
FAM171B	S	0.698896
MCTP1	S	0
PYY	S	0
CSF3R	S	1.99258540264476
KLB	S	1.55125780860218
DDX3Y	S	0
ACSM5	S	0
PTGIR	S	0.478262185301716
BDKRB2	S	0
TCF23	S	0.563458027088521
OLFM2	S	0.297350855738721
GABBR2	S	0.414346622387936
GAL3ST3	S	0
ZBTB7C	S	0
IL1R2	S	0.417084433772603
ENO2	S	0.894916
RARRES1	S	0
MYLK4	S	0
COLQ	S	0.478864
LGI2	S	0
BCAT1	S	0
MZB1	S	0.641601
FOXC2	S	0
RND2	S	1.14254956757174
RASGEF1B	S	0
GPRC5A	S	0
BMPR1B	S	0
LGR5	S	0
MYBPH	S	0.361199081560575
ACKR2	S	0
LMOD1	S	0
GLIPR2	S	0
NR4A1	S	0.261121
NRSN2	S	0
FOSB	S	0
RNASE1	S	0.284089
DOK3	S	0
MAPK8IP2	S	0
C12orf75	S	0
TSHR	S	0
REM2	S	0.304943473706639
EPHX4	S	0
CPZ	S	0
RSPO1	S	0
GPNMB	S	0
RGS1	S	0.416818621178889
PLAUR	S	2.53227847804716
GLRB	S	0
CD163	S	0
IRF4	S	0
ST6GALNAC5	S	0
RYR3	S	0.309136
GPR68	S	0
HAPLN4	S	0
JCHAIN	S	0
RARRES2	S	0
SEZ6	S	0
RUNX1	S	0.315145518098159
ERRFI1	S	0
TPPP3	S	0.750247894075569
LYPD2	S	0
SHMT1	S	0
RAB7B	S	0.303601
FAM180A	S	0
WAS	S	0
CLEC11A	S	0
SOCS3	S	1.16971002679318
PCDHB7	S	0
COTL1	S	0.702839189872453
AHSP	S	0.284089
RCVRN	S	0
B3GALT5	S	0
SAMSN1	S	0.619644546753698
BHLHA15	S	0
RND1	S	1.07102549784755
ADAMTS18	S	0
IL22RA1	S	1.01166062582857
CEMIP	S	0
WNT7A	S	1.03361212299086
GAS7	S	0
SLCO4A1	S	0
C1S	S	0
UCK2	S	0
